,director,distributor,genre_bomojo,rating,title,releaseDate,isCult,canontitle,num_theaters,leadActor,runtime_mins,releaseYear,rev_opening_ADJ,rev_totalGross_ADJ,prod_budget_ADJ,CULT_INDEX,is_missing_prodbudgetADJ,genre
1,Peter Masterson,Island Pictures,Drama,PG,The Trip to Bountiful,1985-12-20,0,triptobountiful,1,Geraldine Page,108,1985,20560.1314286,45022606.3682,5650869.56187,1.55834294295,1,Drama
3,Peter Yates,Fox,Comedy / Drama,PG,Breaking Away,1979-07-13,0,breakingaway,1,Dennis Christopher,100,1979,60753.264,193462933.353,24281886.1992,1.54199348745,1,Comedy
13,Albert Brooks,Columbia,Romantic Comedy,R,Modern Romance,1981-03-13,0,modernromance,1,Albert Brooks,93,1981,57915,28917834.6953,3629530.15234,1.47940252978,1,Romantic
26,Martin Scorsese,Warner Bros.,Unknown,R,After Hours,1985-09-13,1,afterhours,1,Griffin Dunne,96,1985,111380.657143,63756736.2013,61933085.5019,1.47197775383,1,Unknown
23,Will Carroll,Miramax,Romance,R,Playing by Heart,1999-01-01,0,playingbyheart,1,Angelina Jolie,121,1999,45764.004,11690514.0032,28571428.5714,1.46101732254,0,Romance
21,Gavin O'Connor,Miramax,Drama,R,Miracle,1991-07-03,0,miracle,1,Kurt Russell,96,1991,24669.5428571,3486842.4553,437639.913627,1.45120254189,1,Drama
32,Miranda July,IFC,Comedy / Drama,R,Me and You and Everyone We Know,2005-06-17,1,meandyouandeveryoneweknow,1,Miranda July,90,2005,41292.590625,6982655.72748,876405.788963,1.44871742422,1,Comedy
29,Matthew Barney,Palm,Unknown,Unrated,The Cremaster Cycle,2003-04-25,0,cremastercycle,1,,182,2003,15422.55,1052350.5278,132082.403342,1.43257802416,1,Unknown
41,"Fenton Bailey, Randy Barbato",Strand,Comedy Thriller,R, Party Monster,2003-08-29,0,partymonster,1,Seth Green,97,2003,21683.09,1519152.1202,190671.510253,1.42818092221,1,Comedy
82,Ang Lee,Focus Features,Foreign,NC-17,"Lust, Caution",2007-09-28,0,lustcaution,1,Tony Leung Chiu-Wai,158,2007,80649.4764706,7331362.38981,17221418.2344,1.41877420645,0,Foreign
47,Gregg Araki,Tartan,Drama,NC-17,Mysterious Skin,2005-05-06,0,mysteriousskin,1,Joseph Gordon-Levitt,99,2005,23360.390625,1281888.69961,160892.140945,1.41841624115,1,Drama
53,Lee Hirsch,Artisan,Unknown,PG-13,Amandla!: A Revolution in Four-Part Harmony,2003-02-19,0,amandla,1,the use of music against South Africa under apartheid,103,2003,20278.83,828861.3619,104031.858768,1.40992303031,1,Unknown
113,Woody Allen,Fox Searchlight,Fantasy Comedy,PG-13,Melinda and Melinda,2005-03-18,0,melindaandmelinda,1,Chiwetel Ejiofor,100,2005,99525.31875,6876878.88164,863129.412831,1.40777566556,1,Fantasy
94,Alison Maclean,Lions Gate,Drama,R,Jesus' Son,2000-06-16,0,jesusson,1,Billy Crudup,105,2000,60042.1924528,3412370.42004,34552845.5285,1.40747512006,0,Drama
57,Jonas Åkerlund,Newmarket,Crime Drama,R,Spun,2003-03-14,0,spun,1,Jason Schwartzman,101,2003,21678.8,840697.2431,105517.398701,1.40718765703,1,Crime
81,Anton Corbijn,Weinstein Company,Music Drama,R,Control,2007-10-10,1,control,1,Sam Riley,121,2007,34918.0764706,1388668.94751,174294.29903,1.40217095842,1,Music
141,Mike Birbiglia,IFC,Comedy,PG-13,Sleepwalk with Me,2012-08-24,0,sleepwalkwithme,1,Mike Birbiglia,81,2012,74723.1113924,2672964.1836,335488.451802,1.39054239456,1,Comedy
77,Craig Zobel,Magnolia,Drama / Thriller,R,Compliance,2012-08-17,0,compliance,1,Ann Dowd,90,2012,17840.9696203,376616.123602,47269.7378703,1.3880288133,1,Drama
74,Jeff Garlin,IFC,Comedy,R, I Want Someone to Eat Cheese With,2007-09-05,0,iwantsomeonetoeatcheesewith,1,Jeff Garlin,80,2007,15541.1558824,309762.018062,38878.7620716,1.38751036307,1,Comedy
106,Miranda July,Roadside Attractions,Drama,R,The Future,2011-07-29,0,future,1,Hamish Linklater,91,2011,29472.843038,670771.499067,1058064.63086,1.38529512437,0,Drama
159,Peter Yates,Warner Bros.,Unknown,PG,Eleni,1985-11-01,0,eleni,1,Kate Nelligan,114,1985,68333.5714286,1833511.09166,61933085.5019,1.38247556216,1,Unknown
128,Harmony Korine,IFC,Comedy / Drama,Unrated,Mister Lonely,2008-05-02,0,misterlonely,1,Diego Luna,108,2008,20264.5098592,244457.268289,30682.2329602,1.36721747764,1,Comedy
190,Michael Corrente,City Lights Pictures Releasing,Crime Drama,R,Brooklyn Rules,2007-05-11,0,brooklynrules,1,Alec Baldwin,95,2007,52755.6441176,729528.334879,9184756.3917,1.36396142711,0,Crime
178,Todd Solondz,IFC,Comedy / Drama,R,Life During Wartime,2010-07-23,0,lifeduringwartime,1,Ally Sheedy,98,2010,33557.7,340550.87,49115823.4582,1.35742824654,0,Comedy
279,Guy Maddin,Vitagraph,Drama,Unrated,Brand Upon the Brain!,2007-05-09,0,branduponthebrain,1,Sullivan Brown,95,2007,58561.0235294,419027.605536,52592.788949,1.34287737153,1,Drama
162,Justin Lin,IFC,Comedy,Unrated,Finishing the Game,2007-10-05,0,finishingthegame,1,James Franco,84,2007,15018.7852941,84168.5085467,10564.1095743,1.34286273295,1,Comedy
185,Jarrett Schaefer,Peace Arch Entertainment,Crime Drama,R,Chapter 27,2008-03-28,0,chapter27,1,Jared Leto,84,2008,16809.5492958,82093.7497718,10303.6987834,1.33742926553,1,Crime
445,Kevin Smith,SModcast Pictures,Horror Thriller,R,Red State,2011-03-05,0,redstate,1,Michael Angarano,97,2011,221809.291139,1303039.76903,163546.404254,1.33103997274,1,Horror
329,Alan Rudolph,Alive Films,Crime Drama,R,Trouble in Mind,1985-12-11,0,troubleinmind,1,Kris Kristofferson,111,1985,39293.9485714,117978.544065,14807.614358,1.31782401975,1,Crime
42,Vadim Perelman,DreamWorks,Drama / Thriller,R,House of Sand and Fog,2003-12-19,0,houseofsandandfog,2,Jennifer Connelly,126,2003,65167.96,26666084.9312,213423913.043,1.29316683632,0,Drama
40,Raymond De Felitta,Anchor Bay Films,Comedy,PG-13,City Island,2010-03-19,0,cityisland,2,Andy García,100,2010,35201.1,8071953.56,6548776.46109,1.28813381616,0,Comedy
49,Ed Harris,Sony Classics,Drama,R,Pollock,2000-12-15,0,pollock,2,Ed Harris,117,2000,71625.1924528,22534619.499,2828361.11634,1.28712573866,1,Drama
66,Mira Nair,USA Films,Foreign,R,Monsoon Wedding,2002-02-22,1,monsoonwedding,2,Naseeruddin Shah,114,2002,101400.806897,30387480.0072,3813987.92359,1.2828987249,1,Foreign
52,Julie Taymor,Fox Searchlight,Fantasy Drama,R,Titus,1999-12-25,0,titus,2,Anthony Hopkins,162,1999,38289.108,5910778.54224,741872.531244,1.27922636326,1,Fantasy
84,Kimberly Peirce,Fox Searchlight,Drama,R,Boys Don't Cry,1999-10-08,1,boysdontcry,2,Hilary Swank,118,1999,126503.52,33983117.6462,2857142.85714,1.27892295905,0,Drama
119,Sidney Lumet,ThinkFilm,Crime Thriller,R,Before the Devil Knows You're Dead,2007-10-26,0,beforethedevilknowsyouredead,2,Philip Seymour Hoffman,123,2007,93164.9205882,11278444.821,1415578.01243,1.2668449474,1,Crime
150,Darren Aronofsky,Artisan,Drama,Unrated,Requiem for a Dream,2000-10-06,1,requiemforadream,2,Ellen Burstyn,102,2000,104854.075472,9527628.94642,1195829.88596,1.26071496279,1,Drama
143,Ryan Fleck,ThinkFilm,Drama,R, Half Nelson,2006-08-11,0,halfnelson,2,Ryan Gosling,107,2006,71257.56,4700887.1712,590016.779975,1.25753162873,1,Drama
131,David Lynch,518 Media,Drama / Thriller,R,Inland Empire,2006-12-06,0,inlandempire,2,Laura Dern,179,2006,36310.56,1500824.952,188371.200998,1.25325156517,1,Drama
146,Rebecca Miller,MGM,Drama,R,Personal Velocity: Three Portraits,2002-11-22,0,personalvelocity,2,Kyra Sedgwick,85,2002,44294.9896552,1775413.54648,222835.29938,1.25127742052,1,Drama
122,Shari Springer Berman and Robert Pulcini,Magnolia,Comedy,R,The Extra Man,2010-07-30,0,extraman,2,Kevin Kline,108,2010,20747.1,548586.17,68854.0061518,1.24804402014,1,Comedy
149,Tom Kalin,IFC,Crime Drama,Unrated, Savage Grace,2008-05-28,0,savagegrace,2,Julianne Moore,96,2008,26961.743662,636343.023892,79868.5152981,1.24397412479,1,Crime
181,Todd Stephens,TLA Releasing,Comedy,Unrated,Another Gay Movie,2006-07-28,0,anothergaymovie,2,Michael Carbonaro,92,2006,43977.12,1139759.5968,143053.211156,1.24284953682,1,Comedy
256,Rian Johnson,Focus Features,Drama / Thriller,R,Brick,2006-03-31,1,brick,2,Joseph Gordon-Levitt,110,2006,110317.68,3616774.6032,453947.742455,1.24204839356,1,Drama
255,Noah Baumbach,Paramount Vantage,Comedy / Drama,R,Margot at the Wedding,2007-11-16,0,margotatthewedding,2,Nicole Kidman,93,2007,102247.102941,3119494.95,391533.2825,1.24116747813,1,Comedy
179,Charles Burnett,Milestone,Drama,Unrated,Killer of Sheep,2007-03-30,0,killerofsheep,2,,83,2007,33000.1941176,643997.031384,80829.1701938,1.23894747138,1,Drama
188,Gus Van Sant,IFC,Drama,R,Paranoid Park,2008-03-07,0,paranoidpark,2,Gabe Nevins,80,2008,36045.6676056,710851.699639,89220.2149438,1.23865797588,1,Drama
187,Francis Ford Coppola,American Zoetrope,Drama,R,Tetro,2009-06-11,0,tetro,2,Vincent Gallo,127,2009,34896.576,678608.408192,85173.3030897,1.23856294883,1,Drama
200,Joshua Seftel,First Look,Comedy,R,"War, Inc.",2008-05-23,0,warinc,2,John Cusack,106,2008,42701.8140845,848263.625011,106467.021868,1.23786666577,1,Comedy
170,Jonathan Parker,Outrider,Unknown,PG-13,Bartleby,2002-05-24,0,bartleby,2,David Paymer,82,2002,21596.4517241,324925.370262,40781.9285076,1.23607417394,1,Unknown
215,Andrew Jarecki,Magnolia,Thriller,R,All Good Things,2010-12-03,0,allgoodthings,2,Ryan Gosling,101,2010,40889.2,704249.04,88391.4921784,1.2353332823,1,Thriller
196,Lynn Shelton,Magnolia,Comedy,R,Humpday,2009-07-10,0,humpday,2,Mark Duplass,93,2009,32875.128,533148.945472,66916.4246274,1.23529947563,1,Comedy
167,Jonas Pete,Roadside Attractions,Drama,R,Shrink,2009-07-24,0,shrink,2,Kevin Spacey,110,2009,18810.792,248163.829056,31147.4534438,1.23411037057,1,Drama
271,Caleb Deschanel,Warner Bros.,Unknown,PG,The Escape Artist,1982-05-28,0,escapeartist,2,Raúl Juliá,93,1982,69003.9103448,1254971.42112,157513.601531,1.23374829987,1,Unknown
182,Arthur Penn,Cinedigm Entertainment,Thriller,R,Night Moves,2014-05-30,0,nightmoves,2,Gene Hackman,112,2014,22761.362963,304917.311111,38270.6778186,1.23340025347,1,Thriller
258,David Duchovny,Lions Gate,Comedy / Drama,PG-13,House of D,2005-04-15,0,houseofd,2,David Duchovny,97,2005,48759.871875,698299.00207,67025089.6057,1.2309216594,1,Comedy
223,Robert D. Siegel,First Independent Pictures,Comedy / Drama,R,Big Fan,2009-08-28,1,bigfan,2,Patton Oswalt,86,2009,27760.304,306950.94144,38525.9112413,1.22852262649,1,Comedy
189,Julia Loktev,IFC,Thriller,Unrated,The Loneliest Planet,2012-10-26,0,loneliestplanet,2,Gael García Bernal,113,2012,17039.4455696,152846.330646,19183.9839987,1.22653743688,1,Thriller
56,Francis Ford Coppola,MGM,War,R,Apocalypse Now,1979-08-15,1,apocalypsenow,3,Martin Sheen,153,1979,406891.056,927967231.002,116470862.191,1.22119504212,1,War
316,Josh Radnor,Anchor Bay Films,Romantic Comedy,R,Happythankyoumoreplease,2011-03-04,0,happythankyoumoreplease,2,Josh Radnor,94,2011,38081.0810127,254914.92075,31994.7519853,1.21738949929,1,Romantic
289,Huế Rhodes,IndieVest Pictures,Comedy / Drama,R,Saint John of Las Vegas,2010-01-29,0,saintjohnoflasvegas,2,Steve Buscemi,85,2010,23832.6,124200.45,15588.5718965,1.21405447624,1,Comedy
308,Todd Louiso,Oscilloscope Pictures,Comedy / Drama,R,Hello I Must Be Going,2012-09-07,0,helloimustbegoing,2,Melanie Lynskey,95,2012,25961.5594937,125869.771312,15798.0866799,1.21233918326,1,Comedy
4817,"John Lasseter, Lee Unkrich, Ash Brannon",Buena Vista,Animation,G,Toy Story 2,1999-11-19,0,toystory2,1,voices of Tom Hanks,92,1999,3.2947069927E+11,723950094.005,128571428.571,1.21203943809,0,Animation
75,Bruce Beresford,Universal,Unknown,PG,Tender Mercies,1983-03-04,0,tendermercies,3,Robert Duvall,92,1983,130020.212903,64677668.4322,23895582.3293,1.21035725581,1,Unknown
137,Kevin Tancharoen,MGM,Music Drama,R, Fame,1980-05-16,0,fame,3,Debbie Allen,134,1980,389928,230898807.81,28980530.4798,1.20560865935,1,Music
138,Alan Parker,MGM,Music Drama,R,Fame,1980-05-16,0,fame,3,Irene Cara,134,1980,389928,230898807.81,28980530.4798,1.20560865935,1,Music
120,Sidney Lumet,Warner Bros.,Unknown,R,Prince of the City,1981-08-19,0,princeofthecity,3,Treat Williams,167,1981,205643.533333,82040953.7745,10297109.5831,1.20465224355,1,Unknown
448,Galt Niederhoffer,Four of a Kind,Romantic Comedy,PG-13,The Romantics,2010-09-10,0,romantics,2,Katie Holmes,95,2010,50079.7,128894.04,16177.6139578,1.19868721941,1,Romantic
336,Jake Paltrow,Yari Film Group,Fantasy Drama,R,The Good Night,2007-10-05,0,goodnight,2,Penélope Cruz,93,2007,15616.8617647,35727.1979325,4484.15080395,1.19835593653,1,Fantasy
212,Ken Russell,Warner Bros.,Sci-Fi Horror,R,Altered States,1980-12-25,1,alteredstates,3,William Hurt,103,1980,576345,216208883.88,27136770.8612,1.19824369994,1,Sci-Fi
130,Tom McCarthy,Miramax,Drama,R,The Station Agent,2003-10-03,0,stationagent,3,Peter Dinklage,88,2003,82632.55,11736449.9824,38804347.8261,1.19687773198,1,Drama
4824,Guy Ritchie,Sony / Screen Gems,Crime Comedy,R,Snatch,2000-12-08,1,snatch,1,Benicio del Toro,103,2000,1.32747480636E+11,79482010.0875,9677545.92263,1.19430644198,1,Crime
155,Richard Linklater,Millennium Ent.,Comedy / Drama,PG-13,Bernie,2012-04-27,0,bernie,3,Jack Black,104,2012,93190.7468354,10859592.6632,1363007.11255,1.19360652302,1,Comedy
133,Tom Tykwer,Paramount (DreamWorks),Thriller,R,Perfume: The Story of a Murderer,2006-12-27,0,perfume,3,Ben Whishaw,147,2006,48944.28,3873865.7232,70833333.3333,1.19196280775,0,Thriller
134,Michael Rymer,Paramount (DreamWorks),Thriller,R,Perfume,2006-12-27,0,perfume,3,Estella Warren,147,2006,48944.28,3873865.7232,70833333.3333,1.19196280775,0,Thriller
211,Walter Salles,Focus Features,Foreign,R,The Motorcycle Diaries,2004-09-24,1,motorcyclediaries,3,Gael García Bernal,126,2004,221168.874194,32138015.035,4033700.50498,1.19192635431,1,Foreign
169,Julian Schnabel,Miramax,Drama,PG-13,The Diving Bell and the Butterfly,2007-11-30,0,divingbellandthebutterfly,3,Mathieu Amalric,112,2007,95542.0852941,9557438.58397,28702363.7241,1.19148749825,1,Drama
144,William Friedkin,LD Entertainment,Comedy / Drama,NC-17,Killer Joe,2012-07-27,0,killerjoe,3,Matthew McConaughey,103,2012,41162.278481,2344686.46847,294285.791257,1.18833863289,1,Comedy
126,Vera Farmiga,Sony Classics,Drama,R,Higher Ground,2011-08-26,0,higherground,3,Vera Farmiga,109,2011,23345.2025316,992875.392104,2116129.26171,1.18721077343,0,Drama
4831,Peyton Reed,Fox,Romantic Comedy,PG-13,Down with Love,2003-05-09,0,downwithlove,1,Ewan McGregor,101,2003,1.31564521664E+11,41522207.7699,23282608.6957,1.18683198072,1,Romantic
230,Todd Graff,IFC,Comedy,PG-13, Camp,2003-07-25,0,camp,3,Daniel Letterle,114,2003,77640.42,3332904.8038,418318.798586,1.18144212321,1,Comedy
213,Jeff Nichols,Sony Classics,Drama,R,Take Shelter,2011-09-30,0,takeshelter,3,Michael Shannon,120,2011,56520.478481,2040989.62433,5290323.15428,1.1805392993,0,Drama
228,Bart Freundlich,Sony Classics,Unknown,R,The Myth of Fingerprints,1997-09-17,0,mythoffingerprints,3,Blythe Danner,93,1997,58216.2533333,1901393.46222,1482866.04361,1.17905944853,1,Unknown
303,Noah Baumbach,Focus Features,Comedy / Drama,R,Greenberg,2010-03-19,0,greenberg,3,Ben Stiller,107,2010,129967.2,5123345.7,643040.190039,1.17822018346,1,Comedy
236,Richard Eyre,Lions Gate,Period Drama,R,Stage Beauty,2004-10-08,0,stagebeauty,3,Billy Crudup,105,2004,53492.1483871,1498340.78775,188059.370383,1.17734542162,1,Period
285,Myles Berkowitz,Fox Searchlight,Unknown,R,20 Dates,1999-02-26,0,20dates,3,Myles Berkowitz,87,1999,69058.704,1594931.69722,10000000,1.17376984439,1,Unknown
199,Jack Bender,Indican,Drama,R,The Face,2004-10-15,0,face,3,Yasmine Bleeth,89,2004,17112.9483871,207119.856306,25995.9532288,1.1699667928,1,Drama
239,Dylan Kidd,Newmarket,Fantasy Comedy,R,P.S.,2004-10-15,0,ps,3,Laura Linney,97,2004,25892.2258065,345681.088688,43387.0070043,1.16985427899,1,Fantasy
326,Goran Dukić,After Dark Films,Fantasy Comedy,R,Wristcutters: A Love Story,2007-10-19,1,wristcutters,3,Patrick Fugit,91,2007,54013.6235294,710317.065441,89153.0716406,1.16713834104,1,Fantasy
400,Vincent Gallo,Wellspring,Drama,Unrated,The Brown Bunny,2004-08-27,1,brownbunny,3,Vincent Gallo,92,2004,70025.2548387,701502.625817,88046.7192237,1.16278550142,1,Drama
357,Kevin Asch,First Independent Pictures,Crime Drama,R,Holy Rollers,2010-05-21,0,holyrollers,3,Jesse Eisenberg,89,2010,43653.5,366707.44,46026.0228616,1.16171834217,1,Crime
405,Jim Jarmusch,Focus Features,Crime Drama,R,The Limits of Control,2009-05-01,0,limitsofcontrol,3,Isaach de Bankolé,116,2009,63858.08,558421.946368,70088.4155158,1.16125118447,1,Crime
107,John Curran,Warner Independent,Period Drama,PG-13, The Painted Veil,2006-12-20,0,paintedveil,4,Naomi Watts,124,2006,67433.52,14044592.5488,1762762.32696,1.15953145581,1,Period
306,Alex Cox,ThinkFilm,Drama,R,Walker,2007-12-07,1,walker,3,Ed Harris,107,2007,20850.6617647,126883.214688,15925.2972983,1.15916281902,1,Drama
112,Danny Boyle,Paramount Classics,Period Drama,R,Sunshine,1999-12-17,0,sunshine,4,Cillian Murphy,180,1999,73273.2,15006753.1992,1883524.8555,1.15894502041,1,Period
360,Edward Burns,Bauer Martinez Distribution,Comedy,R,The Groomsmen,2006-07-14,0,groomsmen,3,Edward Burns,93,2006,34380.72,224614.5264,28191.7024313,1.15888813548,1,Comedy
127,Henry Bromell,Roxie,Crime Drama,R, Panic,2000-12-01,0,panic,4,William H. Macy,88,2000,29149.3358491,2041910.32562,1382113.82114,1.15180924649,0,Crime
180,Aaron Schneider,Sony Classics,Comedy,PG-13,Get Low,2010-07-30,0,getlow,4,Robert Duvall,100,2010,97000.2,11104088.93,7640239.20461,1.15175103129,0,Comedy
221,Kathryn Bigelow,Summit Entertainment,War,R,The Hurt Locker,2009-06-26,0,hurtlocker,4,Jeremy Renner,130,2009,166282.688,22271821.8969,16640486.2564,1.15112389713,0,War
374,Chris Chan Lee,Indican,Drama,R,Undoing,2008-01-04,0,undoing,3,Sung Kang,90,2008,19413.7605634,65714.4293513,8247.89448907,1.15077613154,1,Drama
204,Debra Granik,Roadside Attractions,Drama,R,Winter's Bone,2010-06-11,1,wintersbone,4,Jennifer Lawrence,100,2010,93276.7,7903118.63,2182925.48703,1.14888859591,0,Drama
226,Michael Radford,Sony Classics,Period Drama,R,The Merchant of Venice,2004-12-29,0,merchantofvenice,4,Al Pacino,138,2004,96688.2967742,7211467.52325,37797776.6014,1.14747385048,0,Period
267,Sam Mendes,Focus Features,Comedy,R,Away We Go,2009-06-05,0,awaywego,4,John Krasinski,98,2009,149190.184,12370102.0003,18859217.7573,1.146924557,0,Comedy
287,Benh Zeitlin,Fox Searchlight,Drama,PG-13,Beasts of the Southern Wild,2012-06-27,0,beastsofthesouthernwild,4,Quvenzhané Wallis,91,2012,184309.260759,15093362.5354,1894395.10199,1.1460658111,1,Drama
290,Noah Baumbach,IDP,Comedy / Drama,R,The Squid and the Whale,2005-10-05,0,squidandthewhale,4,Laura Linney,81,2005,174072.1125,13250833.3798,18279569.8925,1.14556934676,0,Comedy
253,Jamie Babbit,Lions Gate,Comedy,R,But I'm a Cheerleader,2000-07-07,0,butimacheerleader,4,Natasha Lyonne,84,2000,97795.8113208,5780360.25214,725503.359545,1.14511082417,1,Comedy
302,Barry Levinson,Warner Bros.,Comedy / Drama,R,Liberty Heights,1999-11-19,0,libertyheights,4,Adrien Brody,132,1999,163443.852,11003790.7774,1381105.52349,1.14461350979,1,Comedy
233,Richard Loncraine,Freestyle Releasing,Period Comedy,PG-13,My One and Only,2009-08-21,0,myoneandonly,4,Renée Zellweger,85,2009,67143.648,3245060.64397,407293.341137,1.14441269082,1,Period
281,"Brian Koppelman, David Levien",Anchor Bay Films,Comedy / Drama,R,Solitary Man,2010-05-21,0,solitaryman,4,Michael Douglas,90,2010,104429.6,5276263.08,16371941.1527,1.14332681725,0,Comedy
310,Richard Linklater,Fox Searchlight,Animation,R, Waking Life,2001-10-19,0,wakinglife,4,Ethan Hawke,99,2001,136325.475,6811035.80774,854865.245574,1.14234400872,1,Animation
342,Tamara Jenkins,Fox Searchlight,Comedy / Drama,R,The Savages,2007-11-28,0,savages,4,Laura Linney,113,2007,191610.326471,10544278.844,86107091.1722,1.14219377249,1,Comedy
340,James Ivory,Fox Searchlight,Comedy / Drama,R,Savages,2007-11-28,0,savages,4,Susan Blakely,113,2007,191610.326471,10544278.844,86107091.1722,1.14219377249,1,Comedy
341,Oliver Stone,Fox Searchlight,Comedy / Drama,R,Savages,2007-11-28,0,savages,4,Taylor Kitsch,113,2007,191610.326471,10544278.844,86107091.1722,1.14219377249,1,Comedy
264,Dylan Kidd,Artisan,Comedy / Drama,R,Roger Dodger,2002-10-25,0,rogerdodger,4,Campbell Scott,104,2002,70165.1689655,2772274.57727,347953.091056,1.14219094534,1,Comedy
292,Rian Johnson,Summit Entertainment,Crime Comedy,PG-13,The Brothers Bloom,2009-05-15,0,brothersbloom,4,Adrien Brody,109,2009,103417.6,4622136.22042,580132.531929,1.14214595346,1,Crime
356,Derek Cianfrance,Weinstein Company,Drama,R,Blue Valentine,2010-12-29,0,bluevalentine,4,Ryan Gosling,112,2010,213100.8,11744656.88,1091462.74352,1.14188182919,0,Drama
4815,Rob Minkoff,Buena Vista,Animation,G,The Lion King,1994-06-15,0,lionking,2,(voices) Jonathan Taylor Thomas,89,1994,3.18075755197E+11,1370095188.63,72267206.4777,1.1415506365,0,Animation
280,Max Mayer,Fox Searchlight,Comedy / Drama,PG-13, Adam,2009-07-29,0,adam,4,Hugh Dancy,95,2009,78223.288,2980510.13146,374089.097918,1.14146019677,1,Comedy
87,Bob Fosse,Fox,Musical,R,All That Jazz,1979-12-20,0,allthatjazz,5,Roy Scheider,123,1979,295937.928,445510857.902,55916881.3207,1.14080379216,1,Music
249,Richard Shepard,MGM (Weinstein),Drama / Thriller,R,The Hunting Party,2007-09-07,0,huntingparty,4,Terrence Howard,103,2007,49977.2382353,1544080.10925,193800.204118,1.14077542817,1,Drama
248,Don Medford,MGM (Weinstein),Drama / Thriller,R,The Hunting Party,2007-09-07,0,huntingparty,4,Gene Hackman,103,2007,49977.2382353,1544080.10925,193800.204118,1.14077542817,1,Drama
235,Jacob Aaron Estes,Paramount Classics,Drama / Thriller,R,Mean Creek,2004-08-20,0,meancreek,4,Rory Culkin,89,2004,40367.516129,1156625.86879,145170.135892,1.14069294677,1,Drama
380,Jay and Mark Duplass,Fox Searchlight,Comedy,R,Cyrus,2010-06-18,0,cyrus,4,John C. Reilly,92,2010,199887.6,9037412.56,7640239.20461,1.14022619309,0,Comedy
254,Rodrigo García,Sony Classics,Drama,R,Mother and Child,2010-05-07,0,motherandchild,4,Naomi Watts,125,2010,47344,1343715.89,7640239.20461,1.14005825472,0,Drama
282,Chris Weitz,Summit Entertainment,Drama,PG-13,A Better Life,2011-06-24,0,abetterlife,4,Demián Bichir,97,2011,67431.1974684,2075144.99172,10580646.3086,1.13976101599,0,Drama
4789,"Aaron Blaise, Bob Walker",Buena Vista,Animation,G,Brother Bear,2003-10-24,0,brotherbear,2,Joaquin Phoenix,85,2003,34606446164.3,174504152.837,73728260.8696,1.13921138876,1,Animation
265,Larry Charles,Sony Classics,Unknown,PG-13,Masked and Anonymous,2003-07-24,0,maskedandanonymous,4,Jeff Bridges,106,2003,44019.69,1091095.2481,136945.259716,1.13885589004,1,Unknown
4787,Baz Luhrmann,Fox,Musical,PG-13,Moulin Rouge!,2001-05-18,0,moulinrouge,2,Nicole Kidman,127,2001,27885171601.5,134712864.016,67193675.8893,1.13850167388,0,Music
350,Lee Toland Krieger,Sony Classics,Comedy / Drama,R,Celeste and Jesse Forever,2012-08-03,0,celesteandjesseforever,4,Rashida Jones,91,2012,117062.696203,3650520.61742,458183.251213,1.13823110277,1,Comedy
243,Philip Seymour Hoffman,Overture Films,Comedy,R,Jack Goes Boating,2010-09-17,0,jackgoesboating,4,Philip Seymour Hoffman,89,2010,31807.6,655810.32,82311.8803185,1.13790525892,1,Comedy
276,Lawrence Kasdan,Sony Classics,Comedy,PG-13,Darling Companion,2012-04-20,0,darlingcompanion,4,Mark Duplass,103,2012,43401.7670886,936353.189649,117523.302544,1.1374216524,1,Comedy
269,Shane Carruth,ThinkFilm,Unknown,PG-13,Primer,2004-10-08,1,primer,4,Shane Carruth,77,2004,38972.5741935,813457.389802,8819.48120699,1.13739910906,0,Unknown
458,Terrence Malick,Fox Searchlight,Drama,PG-13,The Tree of Life,2011-05-27,0,treeoflife,4,Brad Pitt,138,2011,405019.443038,15692075.8346,33858068.1874,1.13692015107,0,Drama
314,Björne Larson,Sony Classics,Drama,R,Kill Your Darlings,2013-10-16,0,killyourdarlings,4,Lolita Davidovich,104,2013,56619.5259259,1155762.89361,145061.785768,1.13605267146,1,Drama
268,Derick Martini,Screen Media,Drama,R,Lymelife,2009-04-08,0,lymelife,4,Alec Baldwin,93,2009,31755.152,551379.637952,69204.5946762,1.13602619269,1,Drama
333,Richard Linklater,Freestyle Releasing,Drama,PG-13,Me and Orson Welles,2009-11-25,0,meandorsonwelles,4,Ben Chaplin,107,2009,72801.872,1557399.76621,27734143.7607,1.13582526583,0,Drama
397,Mark Romanek,Fox Searchlight,Drama / Thriller,R,Never Let Me Go,2010-09-15,0,neverletmego,4,Carey Mulligan,104,2010,122907.4,2945928.92,16371941.1527,1.13553878867,0,Drama
4784,Duncan Tucker,Weinstein Company,Comedy / Drama,R,Transamerica,2005-12-02,0,transamerica,2,Felicity Huffman,103,2005,2950088220.54,16202982.221,2027034.77738,1.1352887475,1,Comedy
252,Jordan Roberts,Warner Independent,Drama,R,Around the Bend,2004-10-08,0,aroundthebend,4,Christopher Walken,85,2004,24742.2290323,370833.997056,3779777.66014,1.13514600996,1,Drama
418,Sean Durkin,Fox Searchlight,Drama,R,Martha Marcy May Marlene,2011-10-21,0,marthamarcymaymarlene,4,Elizabeth Olsen,120,2011,149499.440506,3527624.51931,33858068.1874,1.1348837364,1,Drama
334,Whit Stillman,Sony Classics,Comedy,PG-13,Damsels in Distress,2012-04-06,0,damselsindistress,4,Greta Gerwig,98,2012,63632.1037975,1189534.15578,149300.46284,1.13481936375,1,Comedy
