title,isCult
Jūbē Ninpūchō (Ninja Scroll),1
Leprechaun,1
El Mariachi,1
Naked,1
The Nightmare Before Christmas,1
No Skin Off My Ass,1
Robin Hood: Men in Tights,1
Sankofa,1
The Sandlot,1
So I Married An Axe Murderer,1
Sonachine (Sonatine),1
Super Mario Bros.,1
Tallinn Pimeduses (Darkness in Tallinn),1
The Thief and the Cobbler,1
Totally Fucked Up,1
True Romance,1
Wilder Napalm,1
"The Adventures of Priscilla, Queen of the Desert",1
Andaz Apna Apna (Everyone Has Their Own Style),1
Bad Boy Bubby,1
Bandit Queen,1
"Der bewegte Mann (The Most Desired Man, also known as Maybe... Maybe Not)",1
Cabin Boy,1
Cemetery Man,1
Chungking Express,1
La Cité de la peur,1
Clerks,1
The Crow,1
Crumb,1
Exotica,1
Felidae,1
Fist of Legend,1
Forbrydelsens element (The Element of Crime),1
Heavenly Creatures,1
The Hudsucker Proxy,1
Jízda (The Ride),1
The Last Seduction,1
Leningrad Cowboys Go America,1
Leningrad Cowboys Meet Moses,1
Léon (Léon: The Professional),1
Leprechaun 2,1
Muriel's Wedding,1
Natural Born Killers,1
Le Péril jeune (The Good Old Gaze),1
Pulp Fiction,1
Reality Bites,1
Sátántangó (Satan's Tango),1
Serial Mom,1
Shallow Grave,1
The Shawshank Redemption,1
Spanking the Monkey,1
Trancers 4: Jack of Swords,1
Trancers 5: Sudden Deth,1
La Vie sexuelle des Belges 1950-1978 (The Sexual Life of the Belgians 1950-1978),1
12 Monkeys,1
The Addiction,1
Le Bonheur est dans le Pré (Happiness is in the Field),1
La Cité des Enfants Perdus (The City of Lost Children),1
Clueless,1
Dead Man,1
Demon Knight,1
Dilwale Dulhania Le Jayenge (also known as DDLJ),1
Dis – en historie om kjærlighet (A Story About Love),1
The Doom Generation,1
Empire Records,1
Fargo,1
Friday,1
Funny Bones,1
Hackers,1
La Haine (The Hate),1
Halloween: The Curse of Michael Myers,1
Kicking and Screaming,1
Kids,1
Kōkaku Kidōtai Gōsuto In Za Sheru (Ghost in the Shell),1
Leprechaun 3,1
Living in Oblivion,1
Mallrats,1
Mortal Kombat,1
Showgirls,1
Strange Days,1
Tank Girl,1
Tommy Boy,1
Waterworld,1
Welcome to the Dollhouse,1
Beautiful Thing,1
Beavis and Butt-head Do America,1
Bottle Rocket,1
Bound,1
The Cable Guy,1
Camping Cosmos,1
Comment Je Me Suis Disputé... (Ma Vie Sexuelle) (My Sex Life... or How I Got into an Argument),1
The Craft,1
Crash,1
The First Wives Club,1
Freeway,1
The Frighteners,1
From Dusk Till Dawn,1
Happy Gilmore,1
Hustler White,1
Irma Vep,1
Kids in the Hall: Brain Candy,1
Kingpin,1
Kondom des Grauens (Killer Condom),1
Mars Attacks!,1
Matilda,1
Mystery Science Theater 3000: The Movie,1
The Phantom,1
The Pillow Book,1
Pusher trilogy,1
Schizopolis,1
Scream,1
Seven Servants,1
Space Jam,1
Swingers,1
Trainspotting,1
Tromeo and Juliet,1
Walking and Talking,1
Anaconda,1
Brat (Brother),1
Breakdown,1
Con Air,1
Cube,1
The Devil's Advocate,1
Double Team,1
Event Horizon,1
"Fast, Cheap & Out of Control",1
The Fifth Element,1
Funny Games,1
Good Burger,1
Grosse Pointe Blank,1
Gummo,1
Hana-bi (Fireworks),1
Happy Together,1
I Married a Strange Person,1
In the Company of Men,1
Jackie Brown,1
Kiler (The Hitman),1
Leprechaun 4: In Space,1
Lost Highway,1
Love Jones,1
Nowhere,1
Orgazmo,1
Preaching to the Perverted,1
Private Parts,1
Romy and Michele's High School Reunion,1
"Shin Seiki Evangerion Gekijō-ban: Ea/Magokoro o, Kimi ni (The End of Evangelion)",1
Starship Troopers,1
American History X,1
Babe: Pig in the City,1
The Big Lebowski,1
Buffalo '66,1
Can't Hardly Wait,1
Dark City,1
Dirty Work,1
Fear and Loathing in Las Vegas,1
Festen (The Celebration),1
Fucking Åmål (Show Me Love),1
Gunda,1
Half Baked,1
Happiness,1
Idioterne (The Idiots),1
Kite,1
"Lola Rennt (Run, Lola, Run)",1
The Opposite of Sex,1
Pi,1
Ringu (Ring),1
Rounders,1
Rushmore,1
Six-String Samurai,1
SLC Punk!,1
Velvet Goldmine,1
The Waterboy,1
Zero Effect,1
American Movie,1
Audition,1
Bang Boom Bang,1
Beau Travail,1
Being John Malkovich,1
The Blair Witch Project,1
The Boondock Saints,1
Eyes Wide Shut,1
Fight Club,1
Galaxy Quest,1
Ghost Dog: The Way of the Samurai,1
Human Traffic,1
Idle Hands,1
The Iron Giant,1
Jezus is een Palestijn (Jesus is a Palestinian),1
The Limey,1
The Matrix Trilogy,1
Mystery Men,1
Office Space,1
Ravenous,1
Sonnenallee,1
"South Park: Bigger, Longer & Uncut",1
The Virgin Suicides,1
Wonderland,1
Zij Gelooft In Mij (She Believes In Me),1
American Psycho,1
Amores perros (Love's a Bitch),1
Baise-moi,1
Battlefield Earth,1
Battle Royale,1
Best in Show,1
Cecil B. Demented,1
Chopper,1
The Chronicles of Riddick: Pitch Black (also known as Pitch Black),1
Chuck and Buck,1
Code Unknown,1
Dancer in the Dark,1
Fa Thalai Chon (Tears of the Black Tiger),1
Ginger Snaps,1
High Fidelity,1
Leprechaun: In the Hood,1
Memento,1
Requiem for a Dream,1
Sexy Beast,1
Shadow of the Vampire,1
Snatch,1
Songs from the Second Floor,1
Unbreakable,1
Vāsasu (Versus),1
The Way of the Gun,1
Werckmeister harmóniák (Werckmeister Harmonies),1
25 Watts,1
Atlantis: The Lost Empire,1
Donnie Darko,1
Le Fabuleux Destin d'Amélie Poulain (Amélie),1
Freddy Got Fingered,1
Ghost World,1
Hedwig and the Angry Inch,1
How High,1
Jesus Christ Vampire Hunter,1
Kairo (Pulse),1
Koroshiya Ichi (Ichi the Killer),1
The Lost Skeleton of Cadavra,1
Metropolis,1
Mulholland Drive,1
Pootie Tang,1
The Royal Tenenbaums,1
Sen to Chihiro no Kamikakushi (Spirited Away),1
Sennen Joyu (Millennium Actress),1
Series 7: The Contenders,1
Session 9,1
Super Troopers,1
Wave Twisters,1
Wet Hot American Summer,1
Y Tu Mamá También (And Your Mother Too),1
Zoolander,1
8 Femmes (8 Women),1
24 Hour Party People,1
28 Days Later,1
L'Auberge Espagnole (The Spanish Inn),1
Bubba Ho-Tep,1
Cidade de Deus (City of God),1
Death to Smoochy,1
Demonlover,1
Equilibrium,1
Femme Fatale,1
FUBAR,1
Gerry,1
Irréversible,1
Ju-On: The Grudge,1
Kung Pow! Enter the Fist,1
May,1
Morvern Callar,1
Pumpkin,1
Punch-Drunk Love,1
Rok Ďábla (Year of the Devil),1
The Rules of Attraction,1
Russkij Kovcheg (Russian Ark),1
La Science des Rêves (The Science of Sleep),1
Secretary,1
Trancers 6,1
American Splendor,1
Anbe Sivam (Love is God),1
Any Way the Wind Blows,1
Bad Santa,1
The Brown Bunny,1
Dogville,1
House of 1000 Corpses,1
"Janghwa, Hongryeon (A Tale of Two Sisters)",1
Jigureul Jikyeora! (Save the Green Planet!),1
Kill Bill,1
Kontroll,1
Oldeuboi (Oldboy),1
Party Monster,1
The Room,1
